X1,X2,RawWT
0.1,-0.8,47.5625
0.1,-0.7,46.5872
0.1,-0.6,45.4313
0.1,-0.5,44.0948
0.1,-0.4,42.5777
0.1,-0.3,40.88
0.1,-0.2,39.0017
0.1,-0.1,36.9428
0.1,0,34.7033
0.1,0.1,32.2832
0.1,0.2,29.6825
0.1,0.3,26.9012
0.1,0.4,23.9393
0.1,0.5,20.7968
0.1,0.6,17.4737
0.1,0.7,13.97
0.1,0.8,10.2857
0.1,0.9,6.4208
0.1,1,2.3753
0.2,-1,49.1872
0.2,-0.9,48.6313
0.2,-0.8,47.8948
0.2,-0.7,46.9777
0.2,-0.6,45.88
0.2,-0.5,44.6017
0.2,-0.4,43.1428
0.2,-0.3,41.5033
0.2,-0.2,39.6832
0.2,-0.1,37.6825
0.2,0,35.5012
0.2,0.1,33.1393
0.2,0.2,30.5968
0.2,0.3,27.8737
0.2,0.4,24.97
0.2,0.5,21.8857
0.2,0.6,18.6208
0.2,0.7,15.1753
0.2,0.8,11.5492
0.2,0.9,7.7425
0.2,1,3.7552
0.3,-1,49.3777
0.3,-0.9,48.88
0.3,-0.8,48.2017
0.3,-0.7,47.3428
0.3,-0.6,46.3033
0.3,-0.5,45.0832
0.3,-0.4,43.6825
0.3,-0.3,42.1012
0.3,-0.2,40.3393
0.3,-0.1,38.3968
0.3,0,36.2737
0.3,0.1,33.97
0.3,0.2,31.4857
0.3,0.3,28.8208
0.3,0.4,25.9753
0.3,0.5,22.9492
0.3,0.6,19.7425
0.3,0.7,16.3552
0.3,0.8,12.7873
0.3,0.9,9.0388
0.3,1,5.1097
0.4,-1,49.5428
0.4,-0.9,49.1033
0.4,-0.8,48.4832
0.4,-0.7,47.6825
0.4,-0.6,46.7012
0.4,-0.5,45.5393
0.4,-0.4,44.1968
0.4,-0.3,42.6737
0.4,-0.2,40.97
0.4,-0.1,39.0857
0.4,0,37.0208
0.4,0.1,34.7753
0.4,0.2,32.3492
0.4,0.3,29.7425
0.4,0.4,26.9552
0.4,0.5,23.9873
0.4,0.6,20.8388
0.4,0.7,17.5097
0.4,0.8,14
0.4,0.9,10.3097
0.4,1,6.4388
0.5,-1,49.6825
0.5,-0.9,49.3012
0.5,-0.8,48.7393
0.5,-0.7,47.9968
0.5,-0.6,47.0737
0.5,-0.5,45.97
0.5,-0.4,44.6857
0.5,-0.3,43.2208
0.5,-0.2,41.5753
0.5,-0.1,39.7492
0.5,0,37.7425
0.5,0.1,35.5552
0.5,0.2,33.1873
0.5,0.3,30.6388
0.5,0.4,27.9097
0.5,0.5,25
0.5,0.6,21.9097
0.5,0.7,18.6388
0.5,0.8,15.1873
0.5,0.9,11.5552
0.5,1,7.7425
0.6,-1,49.7968
0.6,-0.9,49.4737
0.6,-0.8,48.97
0.6,-0.7,48.2857
0.6,-0.6,47.4208
0.6,-0.5,46.3753
0.6,-0.4,45.1492
0.6,-0.3,43.7425
0.6,-0.2,42.1552
0.6,-0.1,40.3873
0.6,0,38.4388
0.6,0.1,36.3097
0.6,0.2,34
0.6,0.3,31.5097
0.6,0.4,28.8388
0.6,0.5,25.9873
0.6,0.6,22.9552
0.6,0.7,19.7425
0.6,0.8,16.3492
0.6,0.9,12.7753
0.6,1,9.0208
0.7,-1,49.8857
0.7,-0.9,49.6208
0.7,-0.8,49.1753
0.7,-0.7,48.5492
0.7,-0.6,47.7425
0.7,-0.5,46.7552
0.7,-0.4,45.5873
0.7,-0.3,44.2388
0.7,-0.2,42.7097
0.7,-0.1,41
0.7,0,39.1097
0.7,0.1,37.0388
0.7,0.2,34.7873
0.7,0.3,32.3552
0.7,0.4,29.7425
0.7,0.5,26.9492
0.7,0.6,23.9753
0.7,0.7,20.8208
0.7,0.8,17.4857
0.7,0.9,13.97
0.7,1,10.2737
0.8,-1,49.9492
0.8,-0.9,49.7425
0.8,-0.8,49.3552
0.8,-0.7,48.7873
0.8,-0.6,48.0388
0.8,-0.5,47.1097
0.8,-0.4,46
0.8,-0.3,44.7097
0.8,-0.2,43.2388
0.8,-0.1,41.5873
0.8,0,39.7552
0.8,0.1,37.7425
0.8,0.2,35.5492
0.8,0.3,33.1753
0.8,0.4,30.6208
0.8,0.5,27.8857
0.8,0.6,24.97
0.8,0.7,21.8737
0.8,0.8,18.5968
0.8,0.9,15.1393
0.8,1,11.5012
0.9,-1,49.9873
0.9,-0.9,49.8388
0.9,-0.8,49.5097
0.9,-0.7,49
0.9,-0.6,48.3097
0.9,-0.5,47.4388
0.9,-0.4,46.3873
0.9,-0.3,45.1552
0.9,-0.2,43.7425
0.9,-0.1,42.1492
0.9,0,40.3753
0.9,0.1,38.4208
0.9,0.2,36.2857
0.9,0.3,33.97
0.9,0.4,31.4737
0.9,0.5,28.7968
0.9,0.6,25.9393
0.9,0.7,22.9012
0.9,0.8,19.6825
0.9,0.9,16.2832
0.9,1,12.7033
1,-1,50
1,-0.9,49.9097
1,-0.8,49.6388
1,-0.7,49.1873
1,-0.6,48.5552
1,-0.5,47.7425
1,-0.4,46.7492
1,-0.3,45.5753
1,-0.2,44.2208
1,-0.1,42.6857
1,0,40.97
1,0.1,39.0737
1,0.2,36.9968
1,0.3,34.7393
1,0.4,32.3012
1,0.5,29.6825
1,0.6,26.8832
1,0.7,23.9033
1,0.8,20.7428
1,0.9,17.4017
1,1,13.88
